,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
122652,224952272,02/28/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,72,0,25-44,M,WHITE,984058,178998,40.65799306600008,-74.00069344599996,POINT (-74.00069344599996 40.65799306600008)
122671,226715396,04/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,9,0,25-44,M,BLACK,987633,203880,40.72628777500006,-73.98779600499995,POINT (-73.98779600499995 40.72628777500006)
122678,226378734,04/01/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,18,0,25-44,M,BLACK HISPANIC,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
122686,224908030,02/26/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553007,F,Q,103,0,18-24,M,BLACK,1047641,198687,40.71180780100008,-73.771344044,POINT (-73.771344044 40.71180780100008)
122736,226829384,04/12/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,S,122,0,45-64,M,WHITE,954801,148466,40.57414012800007,-74.10600776499997,POINT (-74.10600776499997 40.57414012800007)
122774,226197402,03/27/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,52,0,25-44,F,WHITE HISPANIC,1015518,258611,40.876454642000056,-73.88693559699995,POINT (-73.88693559699995 40.876454642000056)
122796,226336441,03/31/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,23,0,18-24,F,BLACK,998829,226859,40.78934789300007,-73.94735241299998,POINT (-73.94735241299998 40.78934789300007)
122846,225409433,03/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,63,0,25-44,M,BLACK,1000521,168264,40.62851560000007,-73.94138369799998,POINT (-73.94138369799998 40.62851560000007)
122923,225620476,03/15/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,115,0,25-44,M,WHITE HISPANIC,1020151,215147,40.75714065300008,-73.87041507399994,POINT (-73.87041507399994 40.75714065300008)
122945,224632014,02/21/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,88,0,45-64,M,BLACK,989315,192297,40.69449438100002,-73.981736271,POINT (-73.981736271 40.69449438100002)
122948,224883865,02/26/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,Q,109,0,25-44,M,BLACK,1032084,216954,40.762043893000055,-73.82732958099997,POINT (-73.82732958099997 40.762043893000055)
123009,225595156,03/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,K,71,0,25-44,M,BLACK HISPANIC,998657,181973,40.66614706700005,-73.94806964599995,POINT (-73.94806964599996 40.66614706700005)
